시도별,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,전공분야별 인구(15세이상),교육,예술 및 인문학,사회과학언론 및 정보학,경영 행정 및 법,자연과학 수학 및 통계학,정보 통신 기술,공학 제조 및 건설,농림어업 및 수의학,보건 및 복지,서비스
전국,46491,47306,25536,23202,14792102,1474250,2184924,772643,2488246,765065,1316705,3025152,252517,1680918,831682
서울특별시,58255,65994,29372,27767,3339361,280029,657638,231545,656994,179204,296801,518227,31888,324459,162576
부산광역시,34762,35373,24026,23042,913405,86887,129196,42688,165438,46756,65875,194171,10493,114352,57549
대구광역시,30985,34344,23760,22307,680053,70891,85934,33604,113958,35525,50995,142072,10537,94994,41543
인천광역시,38840,41203,24665,21661,776061,78487,116218,35437,120943,38063,80519,171785,7689,77609,49311
광주광역시,35452,38019,25378,23096,443977,49019,46300,21119,68407,22055,35455,97114,8201,73534,22773
대전광역시,36645,40976,26493,23355,465455,45884,56761,21765,76724,32564,41847,99301,8409,57286,24914
울산광역시,81235,60576,28102,23345,296743,30009,32914,11745,44705,14952,23627,86658,2691,32207,17235
세종특별자치시,43174,47220,25995,23499,130791,15050,16668,8070,24584,8398,9656,28005,2927,11899,5534
경기도,43070,47899,25696,22878,3996458,386933,638221,195915,645297,203734,413340,850959,52953,383981,225125
강원특별자치도,40713,37509,23326,21277,380547,48427,41930,19326,60064,21261,30150,65854,12642,53325,27568
충청북도,54214,45499,24667,20999,406613,45293,43320,18071,61654,21670,35309,98845,11490,50143,20818
충청남도,64709,49838,23647,20949,505759,57570,57351,22668,74103,23760,43934,124443,14992,59257,27681
전북특별자치도,36283,36239,24157,20394,435051,56083,51220,22040,64683,23098,28399,84606,16409,67299,21214
전라남도,55513,44838,24604,20332,392312,45792,35700,16881,53697,17804,30992,89168,14602,66957,20719
경상북도,48812,41091,22921,21078,598340,66169,59988,26317,93795,26736,53994,135795,17029,82963,35554
경상남도,42144,38879,22769,21756,827173,89757,87468,34853,129284,38790,61873,209673,22117,103754,49604
제주특별자치도,38450,36307,22893,23595,204003,21970,28097,10599,33916,10695,13939,28476,7448,26899,21964
