"행정구역별",2021,2022,2023
"전국",515.2,514.6,515.4
"서울특별시",15650.1,15560.7,15506.4
"부산광역시",4316.4,4272.8,4252.0
"대구광역시",2702.2,2673.7,1586.7
"인천광역시",2772.8,2801.3,2835.7
"광주광역시",2944.0,2931.9,2908.5
"대전광역시",2742.8,2730.7,2724.0
"울산광역시",1055.0,1044.9,1042.0
"세종특별자치시",787.7,822.9,830.7
"경기도",1338.9,1344.9,1354.5
"강원특별자치도",90.4,90.8,90.8
"충청북도",219.4,219.4,221.6
"충청남도",263.8,265.9,268.7
"전라북도",221.4,219.8,219.1
"전라남도",143.9,143.3,143.7
"경상북도",138.4,137.7,140.6
"경상남도",313.6,311.2,310.3
"제주특별자치도",363.8,365.6,365.8
