시도별,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,2021 인구밀도,2022 인구밀도,2023 인구밀도
전국,46491,47306,25536,23202,515.2,514.6,515.4
서울특별시,58255,65994,29372,27767,15650.1,15560.7,15506.4
부산광역시,34762,35373,24026,23042,4316.4,4272.8,4252.0
대구광역시,30985,34344,23760,22307,2702.2,2673.7,1586.7
인천광역시,38840,41203,24665,21661,2772.8,2801.3,2835.7
광주광역시,35452,38019,25378,23096,2944.0,2931.9,2908.5
대전광역시,36645,40976,26493,23355,2742.8,2730.7,2724.0
울산광역시,81235,60576,28102,23345,1055.0,1044.9,1042.0
세종특별자치시,43174,47220,25995,23499,787.7,822.9,830.7
경기도,43070,47899,25696,22878,1338.9,1344.9,1354.5
강원특별자치도,40713,37509,23326,21277,90.4,90.8,90.8
충청북도,54214,45499,24667,20999,219.4,219.4,221.6
충청남도,64709,49838,23647,20949,263.8,265.9,268.7
전북특별자치도,36283,36239,24157,20394,221.4,219.8,219.1
전라남도,55513,44838,24604,20332,143.9,143.3,143.7
경상북도,48812,41091,22921,21078,138.4,137.7,140.6
경상남도,42144,38879,22769,21756,313.6,311.2,310.3
제주특별자치도,38450,36307,22893,23595,363.8,365.6,365.8
