"특성별(1)",특성별(2),2020,2020,2020,2020,2020,2020,2020
"특성별(1)",특성별(2),사례수 (명),200만원 미만 (%),200-300만원 미만 (%),300-400만원 미만 (%),400-500만원 미만 (%),500만원 이상 (%),평균 (만원)
"전체",소계,3027,8.1,22.3,32.4,17,20.2,366.06
"5권역별",도심권,163,5,21.3,30.6,19.2,24,361.99
"5권역별",동북권,944,8.8,25.7,36.9,16.3,12.3,327.83
"5권역별",서북권,365,10.4,21.4,22.9,21.6,23.7,401.1
"5권역별",서남권,951,10.8,21.6,29.3,15.5,22.7,368.86
"5권역별",동남권,604,2.2,18.9,36.3,17.2,25.4,401.31
"응답자성별",남성,779,9.8,25.6,34.5,16.3,13.8,336.29
"응답자성별",여성,2248,7.5,21.2,31.7,17.3,22.4,376.38
"응답자연령별",20대 이하,371,13.3,41.2,34.4,5,6.1,307.23
"응답자연령별",30~40대,1259,2.6,16.5,34.1,21.6,25.1,401.37
"응답자연령별",50~60대,1144,6.5,20.5,32,18,23,375.14
"응답자연령별",70대 이상,253,34.8,31.6,22.5,7.6,3.4,235.59
"연간총가구소득별",1천만원 미만,78,69.5,28.9,1.6,0,0,149.56
"연간총가구소득별",1~3천만원 미만,701,20.3,51.2,22.8,2.3,3.4,262.65
"연간총가구소득별",3~5천만원 미만,929,3.8,24.1,46.8,17.1,8.2,328.3
"연간총가구소득별",5~7천만원 미만,615,0.4,6.9,36.7,28.2,27.8,428.88
"연간총가구소득별",7천~1억원 미만,516,1.5,4.4,24.2,26.2,43.8,469.28
"연간총가구소득별",1억원 이상,187,1.1,3.2,17.9,17.2,60.6,540.62
