기준년도,기준분기,시군명,대상자수,신청자수
2024,2,성남시,0,0
2024,2,부천시,8216,6108
2024,2,안산시,8301,6282
2024,2,화성시,8309,6465
2024,2,남양주시,7150,5403
2024,2,안양시,5808,4550
2024,2,평택시,5714,4066
2024,2,시흥시,5450,4136
2024,2,파주시,4800,3766
2024,2,의정부시,0,0
2024,2,김포시,3744,2961
2024,2,광주시,3585,2415
2024,2,군포시,2928,2401
2024,2,광명시,2910,2245
2024,2,하남시,2467,1573
2024,2,양주시,2576,1878
2024,2,오산시,2440,1766
2024,2,이천시,2068,1681
2024,2,구리시,1987,1489
2024,2,안성시,1757,1337
2024,2,의왕시,1730,1399
2024,2,포천시,1341,991
2024,2,여주시,913,679
2024,2,동두천시,858,633
2024,2,과천시,803,660
2024,2,양평군,746,589
2024,2,가평군,443,282
2024,2,연천군,359,223
2024,1,수원시,13773,11900
2024,1,용인시,10886,9097
2024,1,고양시,11313,8205
2024,1,성남시,0,0
2024,1,부천시,8201,6789
2024,1,안산시,8263,6908
2024,1,화성시,8250,7276
2024,1,남양주시,6999,6098
2024,1,안양시,5879,5068
2024,1,평택시,5489,4423
2024,1,시흥시,5318,4446
2024,1,파주시,4682,3876
2024,1,의정부시,0,0
2024,1,김포시,3773,3320
2024,1,광주시,3552,2800
2024,1,군포시,2868,2558
2024,1,광명시,2864,2472
2024,1,하남시,2521,1741
2024,1,양주시,2579,2087
2024,1,오산시,2316,1875
2024,1,이천시,2085,1829
2024,1,구리시,1994,1707
2024,1,안성시,1725,1455
2024,1,의왕시,1724,1519
2024,1,포천시,1348,1049
2024,1,여주시,920,779
2024,1,동두천시,880,709
2024,1,과천시,785,723
2024,1,양평군,739,639
2024,1,가평군,441,320
2024,1,연천군,354,262
2024,4,용인시,11626,10324
2024,4,고양시,11471,10050
2024,4,성남시,0,0
2024,4,부천시,8012,6808
2024,4,안산시,8243,7226
2024,4,화성시,8519,7158
2024,4,남양주시,7262,6314
2024,4,안양시,5993,5437
2024,4,평택시,5784,5101
2024,4,시흥시,5580,4987
2024,4,파주시,4817,4347
2024,4,의정부시,4957,3960
2024,4,김포시,3841,3345
2024,4,광주시,3665,3157
2024,4,군포시,3001,2812
2024,4,광명시,2980,2870
2024,4,하남시,2585,2197
2024,4,양주시,2595,2229
2024,4,오산시,2392,2090
2024,4,이천시,2110,1881
2024,4,구리시,2071,1896
2024,4,안성시,1795,1566
2024,4,의왕시,1675,1520
2024,4,포천시,1305,1132
2024,4,여주시,930,822
2024,4,동두천시,867,731
2024,4,과천시,836,793
2024,4,양평군,743,651
2024,4,가평군,426,355
2024,4,연천군,364,285
2024,3,수원시,14047,12378
2024,3,용인시,11373,9982
2024,3,고양시,11450,9704
2024,3,성남시,0,0
2024,3,부천시,8070,7003
2024,3,안산시,8264,7181
2024,3,화성시,8485,7299
2024,3,남양주시,7183,6177
2024,3,안양시,5913,5210
2024,3,평택시,5700,4912
2024,3,시흥시,5584,4850
2024,3,파주시,4788,4285
2024,3,의정부시,0,0
2024,3,김포시,3799,3314
2024,3,광주시,3606,2958
2024,3,군포시,2959,2751
2024,3,광명시,2935,2787
2024,3,하남시,2509,2043
2024,3,양주시,2618,2200
2024,3,오산시,2439,2138
2024,3,이천시,2073,1796
2024,3,구리시,2000,1780
2024,3,안성시,1798,1475
2024,3,의왕시,1710,1543
2024,3,포천시,1294,1080
2024,3,여주시,924,772
2024,3,동두천시,855,714
2024,3,과천시,818,750
2024,3,양평군,770,664
2024,3,가평군,420,337
2024,3,연천군,357,276
2024,2,수원시,13764,10742
2024,2,용인시,11105,8448
2024,2,고양시,11337,7497
2023,1,오산시,2310,2249
2023,1,하남시,2474,2299
2023,1,양주시,2285,2220
